Time [ms], Elem0
2757, 0
2817, 0
2847, 0
2907, 0
2967, 0
2997, 0
3057, 0
3087, 0
3147, 0
3207, 0
3237, -0.0134975
3297, 0
3357, 0
3388, 0
3448, 0
3508, 0
3538, 0
3598, 0
3628, 0
3688, 0
3748, 0
3777, 0
3837, 0
3898, 0
3928, 0
3988, 0
4048, 0
4078, 0
4138, 0
4168, 0
4228, 0
4288, 0
4318, 0.16197
4348, 0.269949
4348, 0.269949
4378, 0.323939
4408, 0.350934
4438, 0.364432
4468, 0.364432
4498, 0.364432
4528, 0.364432
4558, 0.364432
4588, 0.364432
4618, 0.377929
4648, 0.418422
4678, 0.512904
4708, 0.661376
4738, 0.835069
4768, 1.02212
4798, 1.24301
4828, 2.59221
4858, 3.32016
4858, 3.32016
4858, 3.32016
4888, 3.74514
4918, 3.99747
4948, 4.15684
4978, 4.27636
5008, 4.35605
5038, 4.42245
5068, 4.48885
5098, 4.55526
5128, 4.63494
5158, 4.68806
5188, 4.7279
5218, 4.75447
5248, 4.75447
5278, 4.7279
5308, 4.71462
5338, 5.03336
5368, 5.19273
5368, 5.19273
5368, 5.19273
5398, 5.27241
5428, 5.31225
5458, 5.35209
5488, 5.4185
5518, 5.49818
5548, 5.5513
5578, 5.6177
5608, 5.67083
5638, 5.71067
5668, 5.73723
5698, 5.76379
5728, 5.79035
5758, 5.80363
5788, 5.81691
5818, 5.81691
5848, 5.81691
5878, 5.81691
5878, 5.81691
5878, 5.81691
5908, 5.81691
5938, 5.80363
5968, 5.79035
5998, 5.77707
6028, 5.77707
6058, 5.76379
6088, 5.76379
6118, 5.76379
6148, 5.75051
6178, 5.73723
6208, 5.72395
6238, 5.72395
6268, 5.72395
6298, 5.72395
6328, 5.71067
6358, 5.69739
6388, 5.69739
6388, 5.69739
6388, 5.69739
6418, 5.69739
6448, 5.69739
6478, 5.71067
6508, 5.71067
6538, 5.71067
6568, 5.71067
6598, 5.71067
6628, 5.72395
6658, 5.72395
6688, 5.72395
6718, 5.72395
6748, 5.73723
6778, 5.73723
6808, 5.73723
6838, 5.68411
6868, 5.64427
6898, 5.6177
6898, 5.6177
6898, 5.6177
6928, 5.60442
6958, 5.59114
6988, 5.57786
7018, 5.56458
7048, 5.5513
7078, 5.5513
7108, 5.53802
7138, 5.52474
7168, 5.52474
7198, 5.52474
7228, 5.52474
7258, 5.51146
7288, 5.51146
7318, 5.51146
7348, 5.5513
7378, 5.57786
7408, 5.59114
7408, 5.59114
7408, 5.59114
7438, 5.59114
7468, 5.60442
7498, 5.60442
7528, 5.60442
7558, 5.60442
7588, 5.60442
7618, 5.60442
7648, 5.60442
7678, 5.60442
7708, 5.6177
7738, 5.63099
7768, 5.63099
7798, 5.63099
7828, 5.63099
7858, 5.67083
7888, 5.69739
7918, 5.71067
7918, 5.71067
7918, 5.71067
7948, 5.72395
7978, 5.73723
8008, 5.73723
8038, 5.73723
8068, 5.73723
8098, 5.73723
8128, 5.75051
8158, 5.76379
8188, 5.76379
8218, 5.77707
8248, 5.77707
8278, 5.77707
8308, 5.77707
8338, 5.77707
8368, 5.76379
8398, 5.75051
8428, 5.75051
8428, 5.75051
8428, 5.75051
8458, 5.75051
8488, 5.75051
8518, 5.75051
8548, 5.75051
8578, 5.75051
8608, 5.75051
8638, 5.75051
8668, 5.75051
8698, 5.75051
8728, 5.75051
8758, 5.75051
8788, 5.75051
8818, 5.75051
8848, 5.75051
8878, 5.71067
8908, 5.68411
8938, 5.67083
8938, 5.67083
8938, 5.67083
8968, 5.65755
8998, 5.65755
9028, 5.64427
9058, 5.64427
9088, 5.64427
9118, 5.63099
9148, 5.63099
9178, 5.63099
9208, 5.63099
9238, 5.6177
9268, 5.6177
9298, 5.60442
9328, 5.60442
9358, 5.60442
9388, 5.60442
9418, 5.59114
9448, 5.59114
9448, 5.59114
9448, 5.59114
9478, 5.59114
9508, 5.59114
9538, 5.59114
9568, 5.60442
9598, 5.6177
9628, 5.6177
9658, 5.6177
9688, 5.6177
9718, 5.6177
9748, 5.6177
9778, 5.6177
9808, 5.6177
9838, 5.63099
9868, 5.63099
9898, 5.63099
9928, 5.63099
9958, 5.63099
9958, 5.63099
9958, 5.63099
9988, 5.63099
10018, 5.63099
10048, 5.63099
10078, 5.63099
10108, 5.63099
10138, 5.63099
10168, 5.63099
10198, 5.63099
10228, 5.63099
10258, 5.63099
10288, 5.63099
10318, 5.63099
10348, 5.63099
10378, 5.64427
10408, 5.71067
10438, 5.75051
10468, 5.77707
10468, 5.77707
10468, 5.77707
10498, 5.79035
10528, 5.79035
10558, 5.79035
10588, 5.80363
10618, 5.80363
10648, 5.80363
10678, 5.81691
10708, 5.81691
10738, 5.81691
10768, 5.81691
10798, 5.81691
10828, 5.81691
10858, 5.81691
10888, 5.80363
10918, 5.77707
10948, 5.75051
10978, 5.73723
10978, 5.73723
10978, 5.73723
11008, 5.72395
11038, 5.72395
11068, 5.71067
11098, 5.69739
11128, 5.69739
11158, 5.69739
11188, 5.69739
11218, 5.68411
11248, 5.68411
11278, 5.68411
11308, 5.67083
11338, 5.65755
11368, 5.65755
11398, 5.65755
11428, 5.68411
11458, 5.69739
11488, 5.71067
11488, 5.71067
11488, 5.71067
11518, 5.72395
11548, 5.72395
11578, 5.73723
11608, 5.75051
11638, 5.75051
11668, 5.76379
11698, 5.77707
11728, 5.77707
11758, 5.79035
11788, 5.79035
11818, 5.79035
11848, 5.79035
11878, 5.79035
11908, 5.79035
11938, 5.75051
11968, 5.73723
11998, 5.71067
11998, 5.71067
11998, 5.71067
12028, 5.69739
12058, 5.69739
12088, 5.68411
12118, 5.68411
12148, 5.68411
12178, 5.67083
12208, 5.67083
12238, 5.65755
12268, 5.64427
12298, 5.64427
12328, 5.64427
12358, 5.64427
12388, 5.64427
12418, 5.64427
12448, 5.63099
12478, 5.6177
12508, 5.6177
12508, 5.6177
12508, 5.6177
12538, 5.6177
12568, 5.6177
12598, 5.6177
12628, 5.6177
12658, 5.60442
12688, 5.60442
12718, 5.60442
12748, 5.60442
12778, 5.60442
12808, 5.60442
12838, 5.60442
12868, 5.6177
12898, 5.6177
12928, 5.6177
12958, 5.60442
12988, 5.60442
13018, 5.60442
13018, 5.60442
13018, 5.60442
13048, 5.60442
13078, 5.60442
13108, 5.60442
13138, 5.60442
13168, 5.60442
13198, 5.60442
13228, 5.60442
13258, 5.60442
13288, 5.60442
13318, 5.60442
13348, 5.60442
13378, 5.60442
13408, 5.60442
13438, 5.60442
13468, 5.57786
13498, 5.56458
13528, 5.56458
13528, 5.56458
13528, 5.56458
13558, 5.56458
13588, 5.56458
13618, 5.5513
13648, 5.5513
13678, 5.53802
13708, 5.53802
13738, 5.53802
13768, 5.52474
13798, 5.52474
13828, 5.52474
13858, 5.52474
13888, 5.52474
13918, 5.52474
13948, 5.51146
13978, 5.4849
14008, 5.47162
14038, 5.45834
14038, 5.45834
