Time [ms], Elem0
1975, 0.0134975
2059, 0
2122, 0
2206, 0
2290, 0
2353, 0
2438, 0
2501, 0
2564, 0
2564, 0
2585, 0
2606, 0
2627, 0
2648, 0
2669, 0
2669, 0
2669, 0
2690, 0
2711, 0
2732, 0
2753, 0
2774, 0
2774, 0
2774, 0
2795, 0
2816, 0
2837, 0
2858, 0
2879, 0
2879, 0
2879, 0
2900, 0
2921, 0
2942, 0
2963, 0.0134975
2963, 0.0134975
2963, 0.0134975
2984, 0.0134975
3005, 0.0134975
3026, 0.0134975
3047, 0.0134975
3068, 0.0134975
3068, 0.0134975
3068, 0.0134975
3089, 0.0134975
3110, 0.0134975
3131, 0
3153, 0
3173, 0
3173, 0
3173, 0
3194, 0
3215, 0
3235, 0
3256, 0
3277, 0
3277, 0
3277, 0
3297, 0
3319, 0
3340, 0
3361, 0
3382, 0
3382, 0
3382, 0
3403, 0
3424, 0
3445, 0.0134975
3466, 0.0134975
3466, 0.0134975
3466, 0.0134975
3487, 0.0134975
3509, 0.0134975
3529, 0.0134975
3551, 0.0134975
3572, 0.0134975
3572, 0.0134975
3572, 0.0134975
3593, 0.0134975
3614, 0.0134975
3635, 0.0134975
3656, 0.0134975
3677, 0.0134975
3677, 0.0134975
3677, 0.0134975
3698, 0.0134975
3718, 0.0134975
3740, 0.0134975
3760, 0.0134975
3781, 0.0134975
3781, 0.0134975
3781, 0.0134975
3802, 0.0134975
3823, 0.0134975
3843, 0.0134975
3865, 0.0134975
3885, 0.0134975
3885, 0.0134975
3885, 0.0134975
3906, 0.0134975
3928, 0.0134975
3948, 0.0134975
3969, 0.0134975
3990, 0.0134975
3990, 0.0134975
3990, 0.0134975
4011, 0.0134975
4032, 0
4053, 0
4074, 0
4074, 0
4074, 0
4095, 0
4117, 0
4138, 0
4159, 0
4180, 0
4180, 0
4180, 0
4201, 0
4222, 0
4243, 0
4264, 0
4285, 0
4285, 0
4285, 0
4306, 0
4327, 0
4348, 0
4368, 0
4389, 0
4389, 0
4389, 0
4410, 0
4431, 0
4452, 0
4474, 0
4494, 0
4494, 0
4494, 0
4515, 0
4536, 0
4557, 0
4578, 0
4578, 0
4578, 0
4599, 0
4620, 0
4641, 0
4662, 0
4684, 0
4684, 0
4684, 0
4705, 0
4726, 0
4746, 0
4767, 0
4788, 0
4788, 0
4788, 0
4809, 0
4829, 0
4851, 0
4872, 0
4893, 0
4893, 0
4893, 0
4914, 0
4935, 0
4956, 0
4977, 0
4998, 0
4998, 0
4998, 0
5019, 0
5040, 0
5061, 0
5082, 0
5082, 0
5082, 0
5103, 0
5123, 0
5144, 0
5165, 0
5186, 0
5186, 0
5186, 0
5207, 0
5228, 0
5249, 0
5270, 0
5291, 0
5291, 0
5291, 0
5312, 0
5333, 0
5353, 0
5374, 0
5395, 0
5395, 0
5395, 0
5415, 0
5436, 0
5457, 0
5478, 0
5499, 0
5499, 0
5499, 0
5519, 0
5540, 0
5561, 0
5582, 0
5603, 0
5603, 0
5603, 0
5625, 0
5646, 0
5666, 0
5687, 0
5687, 0
5687, 0
5708, 0
5729, 0
5750, 0
5771, 0
5792, 0
5792, 0
5792, 0
5813, 0
5834, 0
5855, 0
5875, 0
5896, 0.0134975
5896, 0.0134975
5896, 0.0134975
5917, 0.0134975
5937, 0.0134975
5958, 0.0134975
5979, 0.0134975
6000, 0.0134975
6000, 0.0134975
6000, 0.0134975
6022, 0.0134975
6043, 0.0134975
6063, 0.0134975
6083, 0.0134975
6105, 0.0134975
6105, 0.0134975
6105, 0.0134975
6125, 0.0134975
6146, 0.0134975
6167, 0
6188, 0
6209, 0
6209, 0
6209, 0
6229, 0
6250, 0
6271, 0
6292, 0
6313, 0.0134975
6313, 0.0134975
6313, 0.0134975
6334, 0.0134975
6355, 0.0134975
6376, 0.0134975
6397, 0.0134975
6397, 0.0134975
6397, 0.0134975
6418, 0.0134975
6439, 0.0134975
6460, 0.0134975
6481, 0.0134975
6502, 0.0134975
6502, 0.0134975
6502, 0.0134975
6523, 0.0134975
6544, 0.0134975
6565, 0.0134975
6587, 0.0134975
6607, 0.0134975
6607, 0.0134975
6607, 0.0134975
6628, 0.0134975
6649, 0.0134975
6670, 0.0134975
6690, 0.0134975
6712, 0.0134975
6712, 0.0134975
6712, 0.0134975
6732, 0.0134975
6753, 0.0134975
6774, 0.0134975
6795, 0
6816, 0
6816, 0
