Time [ms], Elem0
2553, 0.0134975
2613, 0.0134975
2673, 0.0134975
2703, 0.0134975
2763, 0.0134975
2823, 0.0134975
2883, 0
2913, 0
2973, 0
3033, 0
3093, 0
3153, 0
3183, 0
3243, 0
3303, 0
3363, 0
3393, 0
3453, 0
3513, 0.0134975
3573, 0.0269949
3633, 0.0134975
3663, 0.0134975
3723, 0
3783, 0
3843, 0
3873, 0
3933, 0
3963, 0
3963, 0
3993, 0
4023, 0
4053, 0
4083, 0
4113, 0
4143, 1.12574
4173, 1.64171
4203, 1.92315
4233, 2.09905
4263, 2.2167
4293, 2.32572
4323, 2.41051
4353, 2.4953
4383, 2.5801
4413, 2.66489
4443, 2.72545
4473, 2.78602
4473, 2.78602
4473, 2.78602
4503, 2.84658
4533, 2.91926
4563, 2.97983
4593, 3.08884
4623, 3.16152
4653, 3.20998
4683, 3.2342
4713, 3.24631
4743, 3.25843
4773, 3.27054
4803, 3.28265
4833, 3.29477
4863, 3.30688
4893, 3.32016
4923, 3.32016
4953, 3.33344
4983, 3.34672
4983, 3.34672
4983, 3.34672
5013, 3.36
5043, 3.37328
5073, 3.38656
5103, 3.38656
5133, 3.39984
5163, 3.43969
5193, 3.46625
5223, 3.47953
5253, 3.49281
5283, 3.50609
5313, 3.50609
5343, 3.51937
5373, 3.53265
5403, 3.53265
5433, 3.53265
5463, 3.53265
5493, 3.53265
5493, 3.53265
5493, 3.53265
5523, 3.53265
5553, 3.54593
5583, 3.55921
5613, 3.57249
5643, 3.58577
5673, 3.67874
5703, 3.73186
5733, 3.75842
5763, 3.78498
5793, 3.79826
5823, 3.81154
5853, 3.81154
5883, 3.8381
5914, 3.85138
5944, 3.86467
5973, 3.86467
6004, 3.86467
6004, 3.86467
6004, 3.86467
6034, 3.86467
6064, 3.86467
6094, 3.86467
6123, 3.87795
6154, 3.87795
6184, 3.87795
6214, 3.87795
6244, 3.87795
6273, 3.86467
6304, 3.85138
6334, 3.85138
6364, 3.85138
6394, 3.8381
6423, 3.8381
6454, 3.8381
6484, 3.8381
6514, 3.8381
6514, 3.8381
6514, 3.8381
6544, 3.8381
6574, 3.8381
6604, 3.8381
6634, 3.82482
6664, 3.82482
6694, 3.85138
6724, 3.86467
6754, 3.86467
6784, 3.86467
6814, 3.86467
6844, 3.86467
6874, 3.86467
6904, 3.86467
6934, 3.85138
