Time [ms], Elem0, Elem1, Elem2, Elem3, Elem4, Elem5, Elem6, Elem7, Elem8, Elem9, Elem10, Elem11, Elem12
746, -0.0253691, 14.4928, 16.9556, -0.0674873, -0.0253691, 14.4928, 16.9556, -0.0674873, -0.0253691, 14.4928, 16.9556, -0.0674873, -0.0253691
767, 14.4928, 16.9556, -0.0809848, -0.0253691, 14.4928, 16.9556, -0.0809848, -0.0253691, 14.4928, 16.9556, -0.0809848, -0.0253691, 14.4928
788, 16.9556, -0.0809848, -0.0253691, 14.4928, 16.9556, -0.0809848, -0.0253691, 14.4928, 16.9556, -0.0809848, -0.0253691, 14.4928, 16.9556
808, -0.0809848, -0.0253691, 14.4928, 16.9556, -0.0809848, -0.0283537, 14.4799, 16.9556, -0.0809848, -0.0283537, 14.4799, 16.9556, -0.0809848
829, -0.0283537, 14.4799, 16.9556, -0.0809848, -0.0283537, 14.4799, 16.9556, -0.0809848, -0.0283537, 14.4799, 16.9556, -0.0809848, -0.0283537
850, 14.4799, 16.9556, -0.0809848, -0.0283537, 14.4799, 16.9556, -0.0809848, -0.029846, 14.4713, 16.9587, -0.0809848, -0.029846, 14.4713
871, 16.9587, -0.0809848, -0.029846, 14.4713, 16.9587, -0.0809848, -0.029846, 14.4713, 16.9587, -0.0809848, -0.029846, 14.4713, 16.9587
892, -0.0944823, -0.029846, 14.4713, 16.9587, -0.0944823, -0.0303435, 14.467, 16.9649, -0.0944823, -0.0303435, 14.467, 16.9649, -0.0944823
913, -0.0303435, 14.467, 16.9649, -0.0944823, -0.0303435, 14.467, 16.9649, -0.0944823, -0.0303435, 14.467, 16.9649, -0.0944823, -0.0303435
955, 14.467, 16.9649, -0.0944823, -0.0303435, 14.467, 16.9649, -0.0944823, -0.0308409, 14.4627, 16.9649, -0.0944823, -0.0308409, 14.4627
976, 16.9649, -0.0944823, -0.0308409, 14.4627, 16.9649, -0.0944823, -0.0308409, 14.4627, 16.9649, -0.0944823, -0.0308409, 14.4627, 16.9649
997, -0.0944823, -0.0308409, 14.4627, 16.9649, -0.0944823, -0.0308409, 14.4627, 16.9649, -0.0944823, -0.0313383, 14.4605, 16.9556, -0.0944823
1018, -0.0313383, 14.4605, 16.9556, -0.0944823, -0.0313383, 14.4605, 16.9556, -0.0944823, -0.0313383, 14.4605, 16.9556, -0.0944823, -0.0313383
