Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price CAD,Extended Price CAD,
1,3,296-42653-1-ND,IC MUX 8:1 240 OHM 24TSSOP,,3,0,0.67000,2.01,
2,2,296-44560-1-ND,IC CAP-DIGITAL CONVERTER 12WSON,,2,0,6.95000,13.90,
3,2,296-23011-1-ND,IC 8BIT NON-INV TRANSLTR 20TSSOP,,2,0,2.43000,4.86,
4,16,ED10561-ND,CONN TERM BLOCK 2.54MM 2POS PCB,,16,0,0.76200,12.19,
5,12,1276-2450-1-ND,CAP CER 0.1UF 50V X7R 0805,,12,0,0.02700,0.32,
6,18,1276-1105-1-ND,CAP CER 33PF 50V C0G/NP0 0805,,18,0,0.06400,1.15,
7,10,RMCF0805JT330RCT-ND,RES SMD 330 OHM 5% 1/8W 0805,,10,0,0.02400,0.24,
8,10,RMCF0805JT10K0CT-ND,RES SMD 10K OHM 5% 1/8W 0805,,10,0,0.02400,0.24,
9,10,RMCF0805JT20K0CT-ND,RES SMD 20K OHM 5% 1/8W 0805,,10,0,0.02400,0.24,
10,18,445-8977-1-ND,FIXED IND 18UH 5MA 800 MOHM SMD,,18,0,0.22300,4.01,
11,2,732-4982-1-ND,LED BLUE CLEAR 0805 SMD,,2,0,0.23000,0.46,
12,1,SAM1213-40-ND,CONN RCPT .100" 40POS SNGL TIN,,0,1,4.87000,4.87,
13,1,S1012EC-40-ND,CONN HEADER .100" SNGL STR 40POS,,1,0,0.75000,0.75,
