Time [ms], Elem0, Elem1, Elem2, Elem3
515, 0, 0.00494943, 0.00419245, -0.0404924
547, 0, 0.00494943, 0.00419245, -0.0404924
578, 0, 0.00494943, 0.00419245, -0.0404924
609, 0, 0.00494943, 0.00419245, -0.0404924
640, 0, 0.00494943, 0.00419245, -0.0404924
671, 0, 0.00494943, 0.00419245, -0.0404924
734, 0, 0.00494943, 0.00419245, -0.0404924
765, 0, 0.00494943, 0.00419245, -0.0404924
796, 0, 0.00494943, 0, -0.0404924
827, 0, 0.00494943, 0, -0.0404924
859, 0, 0.00494943, 0, -0.0404924
890, 0, 0.00494943, 0, -0.0404924
921, 0, 0.00494943, 0, -0.0404924
952, 0, 0.00371207, -0.00209622, -0.0404924
983, 0, 0.00371207, -0.00209622, -0.0404924
1015, 0, 0.00371207, -0.00209622, -0.0404924
1077, 0, 0.00371207, -0.00209622, -0.0404924
1108, 0, 0.00371207, -0.00209622, -0.0404924
1139, 0, 0.00494943, 0.00104811, -0.0404924
1171, 0, 0.00494943, 0.00104811, -0.0404924
1202, 0, 0.00494943, 0.00104811, -0.0404924
1233, 0, 0.00494943, 0.00104811, -0.0404924
1264, 0, 0.00494943, 0.00104811, -0.0404924
1296, 0, 0.00371207, 0.00314433, -0.0404924
1327, 0, 0.00371207, 0.00314433, -0.0404924
1358, 0, 0.00371207, 0.00314433, -0.0404924
1406, 0, 0.00371207, 0.00314433, -0.0404924
1453, 0, 0.00371207, 0.00314433, -0.0404924
1484, 0, 0.00371207, 0.00314433, -0.0404924
1515, 0, 0.00247472, 0.00314433, -0.0404924
1546, 0, 0.00247472, 0.00314433, -0.0404924
1577, 0, 0.00247472, 0.00314433, -0.0404924
1609, 0, 0.00247472, 0.00314433, -0.0404924
1640, 0, 0.00247472, 0.00314433, -0.0404924
1671, 0, 0.00247472, 0.00104811, -0.0404924
1702, 0, 0.00247472, 0.00104811, -0.0404924
1765, 0, 0.00247472, 0.00104811, -0.0404924
1796, 0, 0.00247472, 0.00104811, -0.0404924
1812, 0, 0.00247472, 0.00104811, -0.0404924
1818, 0, 0.00247472, 0.00104811, -0.0404924
1838, 0, 0.00247472, 0.00104811, -0.0404924
1858, 0, 0.00247472, 0.00104811, -0.0404924
1878, 0, 0.00247472, 0.00104811, -0.0404924
1898, 0, 0.00247472, 0.00104811, -0.0404924
1918, 0, 0.00247472, 0, -0.0404924
1973, 0, 0.00247472, 0, -0.0404924
2036, 0, 0.00247472, 0, -0.0404924
2067, 0, 0.00247472, 0, -0.0404924
2098, 0, 0.00247472, 0, -0.0404924
2129, 0, 0.00247472, 0, -0.0404924
2160, 0, 0.00247472, 0, -0.0404924
2192, 0, 0.00247472, 0, -0.0404924
2208, 0, 0.00247472, 0, -0.0404924
2215, 0, 0.00247472, 0, -0.0404924
2236, 0, 0.00247472, 0, -0.0404924
2257, 0, 0.00247472, 0, -0.0404924
2278, 0, 0.00247472, 0, -0.0404924
2319, 0, 0.00247472, 0, -0.0404924
2339, 0, 0.00247472, 0, -0.0404924
2359, 0, 0.00247472, 0.00104811, -0.0404924
2380, 0, 0.00247472, 0.00104811, -0.0404924
2438, 0, 0.00247472, 0.00104811, -0.0404924
2469, 0, 0.00247472, 0.00104811, -0.0404924
2501, 0, 0.00247472, 0.00104811, -0.0404924
2532, 0, 0.00247472, 0.00104811, -0.0404924
2563, 0, 0.00247472, 0.00104811, -0.0404924
2594, 0, 0.00247472, 0.00104811, -0.0404924
2657, 0, 0.00247472, 0.00104811, -0.0404924
2688, 0, 0.00247472, 0.00104811, -0.0404924
2719, 0, 0.00247472, 0.00104811, -0.0404924
2750, 0, 0.00247472, 0.00104811, -0.0404924
2781, 0, 0.00247472, 0.00104811, -0.0404924
2813, 0, 0.00247472, 0.00104811, -0.0404924
2844, 0, 0.00247472, 0.00104811, -0.0404924
2875, 0, 0.00371207, 0.00209622, -0.0404924
