Time [ms], Elem0
2922, 0
2982, 0
3042, 0
3102, -0.0134975
3162, -0.0134975
3222, 0
3252, 0
3312, 0
3372, 0
3432, 0
3492, 0
3552, -0.0134975
3612, -0.0134975
3672, -0.0134975
3732, -0.0134975
3792, -0.0134975
3852, -0.0134975
3912, -0.0134975
3942, -0.0134975
4002, -0.0134975
4062, -0.0134975
4122, -0.0134975
4182, -0.0134975
4212, -0.0134975
4212, -0.0134975
4242, -0.0134975
4272, -0.0134975
4302, -0.0134975
4332, 0
4362, 0
4392, 0
4422, 0
4452, 0
4482, 0
4512, 0
4542, 0
4572, 0
4602, -0.0134975
4632, -0.0134975
4662, -0.0134975
4692, -0.0134975
4722, -0.0134975
4722, -0.0134975
4722, -0.0134975
4752, -0.0134975
4782, -0.0134975
4812, -0.0134975
4842, -0.0134975
4872, -0.0134975
4902, -0.0134975
4932, -0.0134975
4962, -0.0134975
4992, -0.0134975
5022, -0.0134975
5052, -0.0134975
5082, -0.0134975
5112, -0.0134975
5142, -0.0134975
5172, -0.0134975
5202, -0.0134975
5232, -0.0134975
5232, -0.0134975
5232, -0.0134975
5262, -0.0134975
5292, 0
5322, 0
5352, 0
5382, 0
5412, 0
5442, 0
5472, 0
5502, 0
5532, 0
5562, 0
5592, 0
5622, 0
5652, 0
5682, 0
5712, 0
5742, 0
5742, 0
5742, 0
5772, 0
5802, 0
5832, 0
5862, 0
5892, -0.0134975
5922, -0.0134975
5952, -0.0134975
5982, -0.0134975
6012, -0.0134975
6042, -0.0134975
6072, -0.0134975
6102, -0.0134975
6132, -0.0134975
6162, -0.0134975
6192, -0.0134975
6222, -0.0134975
6252, -0.0134975
6252, -0.0134975
6252, -0.0134975
6282, -0.0134975
6312, -0.0134975
6342, -0.0134975
6372, -0.0134975
6402, -0.0134975
6432, -0.0134975
6462, -0.0134975
6492, -0.0134975
6522, -0.0134975
6552, -0.0134975
6582, -0.0134975
6612, -0.0134975
6642, -0.0134975
6672, -0.0134975
6702, -0.0134975
6732, -0.0134975
6762, -0.0134975
6762, -0.0134975
6762, -0.0134975
6792, -0.0134975
